Symbol	Protein_name	Chromosome	Uniprot	Ensembl_x	Ensembl_y	Family
MEF2B	myocyte enhancer factor 2B	19p13.11	Q02080	ENSG00000213999	ENSG00000213999	SRF
MEF2C	myocyte enhancer factor 2C	5q14.3	Q06413	ENSG00000081189	ENSG00000081189	SRF
MEF2D	myocyte enhancer factor 2D	1q22	Q14814	ENSG00000116604	ENSG00000116604	SRF
MEIS1	Meis homeobox 1	2p14	O00470	ENSG00000143995	ENSG00000143995	Homeobox
MEIS2	Meis homeobox 2	15q14	O14770	ENSG00000134138	ENSG00000134138	Homeobox
MEIS3	Meis homeobox 3	19q13.32	Q99687	ENSG00000105419	ENSG00000105419	Homeobox
MEOX1	mesenchyme homeobox 1	17q21.31	P50221	ENSG00000005102	ENSG00000005102	Homeobox
MEOX2	mesenchyme homeobox 2	7p21.2	P50222	ENSG00000106511	ENSG00000106511	Homeobox
MESP1	mesoderm posterior bHLH transcription factor 1	15q26.1	Q9BRJ9	ENSG00000166823	ENSG00000166823	bHLH
MESP2	mesoderm posterior bHLH transcription factor 2	15q26.1	Q0VG99	ENSG00000188095	ENSG00000188095	bHLH
MGA	MAX dimerization protein MGA	15q15	Q8IWI9	ENSG00000174197	ENSG00000174197	T-box
MIER1	MIER1 transcriptional regulator	1p31.3	Q8N108	ENSG00000198160	ENSG00000198160	MYB
MIER3	MIER family member 3	5q11.2	Q7Z3K6	ENSG00000155545	ENSG00000155545	MYB
MIS18BP1	MIS18 binding protein 1	14q21.2	Q6P0N0	ENSG00000129534	ENSG00000129534	MYB
MITF	melanocyte inducing transcription factor	3p13	O75030	ENSG00000187098	ENSG00000187098	bHLH
MIXL1	Mix paired-like homeobox	1q42.12	Q9H2W2	ENSG00000185155	ENSG00000185155	Homeobox
MKX	mohawk homeobox	10p12.1	Q8IYA7	ENSG00000150051	ENSG00000150051	Homeobox
MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor	10p12.31	P55197	ENSG00000078403	ENSG00000078403	Others
MLX	MAX dimerization protein MLX	17q21.2	Q9UH92	ENSG00000108788	ENSG00000108788	bHLH
MLXIP	MLX interacting protein	12q21.31	Q9HAP2	ENSG00000175727	ENSG00000175727	bHLH
MLXIPL	MLX interacting protein like	7q11.23	Q9NP71	ENSG00000009950	ENSG00000009950	bHLH
MNT	MAX network transcriptional repressor	17p13.3	Q99583	ENSG00000070444	ENSG00000070444	bHLH
MNX1	motor neuron and pancreas homeobox 1	7q36.3	P50219	ENSG00000130675	ENSG00000130675	Homeobox
MSC	musculin	8q13.3	O60682	ENSG00000178860	ENSG00000178860	bHLH
MSGN1	mesogenin 1	2p24.2	A6NI15	ENSG00000151379	ENSG00000151379	bHLH
MSX1	msh homeobox 1	4p16.2	P28360	ENSG00000163132	ENSG00000163132	Homeobox
MSX2	msh homeobox 2	5q35.2	P35548	ENSG00000120149	ENSG00000120149	Homeobox
MTA1	metastasis associated 1	14q32.33	Q13330	ENSG00000182979	ENSG00000182979	zf-GATA
MTA2	metastasis associated 1 family member 2	11q12.3	O94776	ENSG00000149480	ENSG00000149480	zf-GATA
MTA3	metastasis associated 1 family member 3	2p21	Q9BTC8	ENSG00000057935	ENSG00000057935	zf-GATA
MTF1	metal regulatory transcription factor 1	1p34.3	Q14872	ENSG00000188786	ENSG00000188786	zf-C2H2
MXD1	MAX dimerization protein 1	2p13.3	Q05195	ENSG00000059728	ENSG00000059728	bHLH
MXD3	MAX dimerization protein 3	5q35.3	Q9BW11	ENSG00000213347	ENSG00000213347	bHLH
MXD4	MAX dimerization protein 4	4p16.3	Q14582	ENSG00000123933	ENSG00000123933	bHLH
MXI1	MAX interactor 1, dimerization protein	10q25.2	P50539	ENSG00000119950	ENSG00000119950	bHLH
MYB	MYB proto-oncogene, transcription factor	6q23.3	P10242	ENSG00000118513	ENSG00000118513	MYB
MYBL1	MYB proto-oncogene like 1	8q13.1	P10243	ENSG00000185697	ENSG00000185697	MYB
MYBL2	MYB proto-oncogene like 2	20q13.12	P10244	ENSG00000101057	ENSG00000101057	MYB
MYC	MYC proto-oncogene, bHLH transcription factor	8q24.21	P01106	ENSG00000136997	ENSG00000136997	bHLH
MYCL	MYCL proto-oncogene, bHLH transcription factor	1p34.2	P12524	ENSG00000116990	ENSG00000116990	bHLH
MYCN	MYCN proto-oncogene, bHLH transcription factor	2p24.3	P04198	ENSG00000134323	ENSG00000134323	bHLH
MYEF2	myelin expression factor 2	15q21.1	Q9P2K5	ENSG00000104177	ENSG00000104177	Others
MYF5	myogenic factor 5	12q21.31	P13349	ENSG00000111049	ENSG00000111049	bHLH
MYF6	myogenic factor 6	12q21.31	P23409	ENSG00000111046	ENSG00000111046	bHLH
MYNN	myoneurin	3q26.2	Q9NPC7	ENSG00000085274	ENSG00000085274	ZBTB
MYOD1	myogenic differentiation 1	11p15.1	P15172	ENSG00000129152	ENSG00000129152	bHLH
MYOG	myogenin	1q32.1	P15173	ENSG00000122180	ENSG00000122180	bHLH
MYRF	myelin regulatory factor	11q12.2	Q9Y2G1	ENSG00000124920	ENSG00000124920	NDT80/PhoG
MYRFL	myelin regulatory factor like	12q15	Q96LU7	ENSG00000166268	ENSG00000166268	NDT80/PhoG
MYSM1	Myb like, SWIRM and MPN domains 1	1p32.1	Q5VVJ2	ENSG00000162601	ENSG00000162601	MYB
MYT1	myelin transcription factor 1	20q13.33	Q01538	ENSG00000196132	ENSG00000196132	zf-C2HC
MYT1L	myelin transcription factor 1 like	2p25.3	Q9UL68	ENSG00000186487	ENSG00000186487	zf-C2HC
MZF1	myeloid zinc finger 1	19q13.43	P28698	ENSG00000099326	ENSG00000099326	zf-C2H2
NANOG	Nanog homeobox	12p13.31	Q9H9S0	ENSG00000111704	ENSG00000111704	Homeobox
NANOGNB	NANOG neighbor homeobox	12p13.31	Q7Z5D8	ENSG00000205857	ENSG00000205857	Homeobox
NANOGP8	Nanog homeobox retrogene P8	15q14	Q6NSW7	ENSG00000255192	ENSG00000255192	Homeobox
NCOA1	nuclear receptor coactivator 1	2p23.3	Q15788	ENSG00000084676	ENSG00000084676	bHLH
NCOR1	nuclear receptor corepressor 1	17p12-p11.2	O75376	ENSG00000141027	ENSG00000141027	MYB
NCOR2	nuclear receptor corepressor 2	12q24.31	Q9Y618	ENSG00000196498	ENSG00000196498	MYB
NEUROD1	neuronal differentiation 1	2q31.3	Q13562	ENSG00000162992	ENSG00000162992	bHLH
NEUROD2	neuronal differentiation 2	17q12	Q15784	ENSG00000171532	ENSG00000171532	bHLH
NEUROD4	neuronal differentiation 4	12q13.2	Q9HD90	ENSG00000123307	ENSG00000123307	bHLH
NEUROD6	neuronal differentiation 6	7p14.3	Q96NK8	ENSG00000164600	ENSG00000164600	bHLH
NEUROG1	neurogenin 1	5q31.1	Q92886	ENSG00000181965	ENSG00000181965	bHLH
NEUROG2	neurogenin 2	4q25	Q9H2A3	ENSG00000178403	ENSG00000178403	bHLH
NEUROG3	neurogenin 3	10q22.1	Q9Y4Z2	ENSG00000122859	ENSG00000122859	bHLH
NFAT5	nuclear factor of activated T cells 5	16q22.1	O94916	ENSG00000102908	ENSG00000102908	RHD
NFATC1	nuclear factor of activated T cells 1	18q23	O95644	ENSG00000131196	ENSG00000131196	RHD
NFATC2	nuclear factor of activated T cells 2	20q13.2	Q13469	ENSG00000101096	ENSG00000101096	RHD
NFATC3	nuclear factor of activated T cells 3	16q22.1	Q12968	ENSG00000072736	ENSG00000072736	RHD
NFATC4	nuclear factor of activated T cells 4	14q12	Q14934	ENSG00000100968	ENSG00000100968	RHD
NFE2	nuclear factor, erythroid 2	12q13.13	Q16621	ENSG00000123405	ENSG00000123405	TF_bZIP
NFE2L1	nuclear factor, erythroid 2 like 1	17q21.32	Q14494	ENSG00000082641	ENSG00000082641	TF_bZIP
NFE2L2	nuclear factor, erythroid 2 like 2	2q31.2	Q16236	ENSG00000116044	ENSG00000116044	TF_bZIP
NFE2L3	nuclear factor, erythroid 2 like 3	7p15.2	Q9Y4A8	ENSG00000050344	ENSG00000050344	TF_bZIP
NFIA	nuclear factor I A	1p31.3	Q12857	ENSG00000162599	ENSG00000162599	CTF/NFI
NFIB	nuclear factor I B	9p23-p22.3	O00712	ENSG00000147862	ENSG00000147862	CTF/NFI
NFIC	nuclear factor I C	19p13.3	P08651	ENSG00000141905	ENSG00000141905	CTF/NFI
NFIL3	nuclear factor, interleukin 3 regulated	9q22.31	Q16649	ENSG00000165030	ENSG00000165030	TF_bZIP
NFIX	nuclear factor I X	19p13.13	Q14938	ENSG00000008441	ENSG00000008441	CTF/NFI
NFKB1	nuclear factor kappa B subunit 1	4q24	P19838	ENSG00000109320	ENSG00000109320	RHD
NFKB2	nuclear factor kappa B subunit 2	10q24.32	Q00653	ENSG00000077150	ENSG00000077150	RHD
NFRKB	nuclear factor related to kappaB binding protein	11q24.3	Q6P4R8	ENSG00000170322	ENSG00000170322	Others
NFX1	nuclear transcription factor, X-box binding 1	9p12	Q12986	ENSG00000086102	ENSG00000086102	zf-NF-X1
NFXL1	nuclear transcription factor, X-box binding like 1	4p12	Q6ZNB6	ENSG00000170448	ENSG00000170448	zf-NF-X1
NFYA	nuclear transcription factor Y subunit alpha	6p21.1	P23511	ENSG00000001167	ENSG00000001167	NF-YA
NFYB	nuclear transcription factor Y subunit beta	12q23.3	P25208	ENSG00000120837	ENSG00000120837	NF-YB
NFYC	nuclear transcription factor Y subunit gamma	1p34.2	Q13952	ENSG00000066136	ENSG00000066136	NF-YC
NHLH1	nescient helix-loop-helix 1	1q23.2	Q02575	ENSG00000171786	ENSG00000171786	bHLH
NHLH2	nescient helix-loop-helix 2	1p13.1	Q02577	ENSG00000177551	ENSG00000177551	bHLH
NKRF	NFKB repressing factor	Xq24	O15226	ENSG00000186416	ENSG00000186416	Others
NKX1-1	NK1 homeobox 1	4p16.3	Q15270	ENSG00000235608	ENSG00000235608	Homeobox
NKX1-2	NK1 homeobox 2	10q26.13	Q9UD57	ENSG00000229544	ENSG00000229544	Homeobox
NKX2-1	NK2 homeobox 1	14q13.3	P43699	ENSG00000136352	ENSG00000136352	Homeobox
NKX2-2	NK2 homeobox 2	20p11.22	O95096	ENSG00000125820	ENSG00000125820	Homeobox
NKX2-3	NK2 homeobox 3	10q24.2	Q8TAU0	ENSG00000119919	ENSG00000119919	Homeobox
NKX2-4	NK2 homeobox 4	20p11.22	Q9H2Z4	ENSG00000125816	ENSG00000125816	Homeobox
NKX2-5	NK2 homeobox 5	5q34	P52952	ENSG00000183072	ENSG00000183072	Homeobox
NKX2-6	NK2 homeobox 6	8p21.2	A6NCS4	ENSG00000180053	ENSG00000180053	Homeobox
NKX2-8	NK2 homeobox 8	14q13.3	O15522	ENSG00000136327	ENSG00000136327	Homeobox
NKX3-1	NK3 homeobox 1	8p21.2	Q99801	ENSG00000167034	ENSG00000167034	Homeobox
NKX3-2	NK3 homeobox 2	4p15.33	P78367	ENSG00000109705	ENSG00000109705	Homeobox
NKX6-1	NK6 homeobox 1	4q21.23	P78426	ENSG00000163623	ENSG00000163623	Homeobox
NKX6-2	NK6 homeobox 2	10q26.3	Q9C056	ENSG00000148826	ENSG00000148826	Homeobox
NKX6-3	NK6 homeobox 3	8p11.21	A6NJ46	ENSG00000165066	ENSG00000165066	Homeobox
NME2	NME/NM23 nucleoside diphosphate kinase 2	17q21.33	P22392	ENSG00000243678	ENSG00000243678	Others
NOBOX	NOBOX oogenesis homeobox	7q35	O60393	ENSG00000106410	ENSG00000106410	Homeobox
NOTO	notochord homeobox	2p13.2	A8MTQ0	ENSG00000214513	ENSG00000214513	Homeobox
NPAS1	neuronal PAS domain protein 1	19q13.32	Q99742	ENSG00000130751	ENSG00000130751	bHLH
NPAS2	neuronal PAS domain protein 2	2q11.2	Q99743	ENSG00000170485	ENSG00000170485	bHLH
NPAS3	neuronal PAS domain protein 3	14q13.1	Q8IXF0	ENSG00000151322	ENSG00000151322	bHLH
NPAS4	neuronal PAS domain protein 4	11q13.2	Q8IUM7	ENSG00000174576	ENSG00000174576	bHLH
NR1D1	nuclear receptor subfamily 1 group D member 1	17q21.1	P20393	ENSG00000126368	ENSG00000126368	THR-like
NR1D2	nuclear receptor subfamily 1 group D member 2	3p24.2	Q14995	ENSG00000174738	ENSG00000174738	THR-like
NR1H2	nuclear receptor subfamily 1 group H member 2	19q13.3	P55055	ENSG00000131408	ENSG00000131408	THR-like
NR1H3	nuclear receptor subfamily 1 group H member 3	11p11.2	Q13133	ENSG00000025434	ENSG00000025434	THR-like
NR1H4	nuclear receptor subfamily 1 group H member 4	12q23.1	Q96RI1	ENSG00000012504	ENSG00000012504	THR-like
NR1I2	nuclear receptor subfamily 1 group I member 2	3q13.33	O75469	ENSG00000144852	ENSG00000144852	THR-like
NR1I3	nuclear receptor subfamily 1 group I member 3	1q23.3	Q14994	ENSG00000143257	ENSG00000143257	THR-like
NR2C1	nuclear receptor subfamily 2 group C member 1	12q22	P13056	ENSG00000120798	ENSG00000120798	RXR-like
NR2C2	nuclear receptor subfamily 2 group C member 2	3p25.1	P49116	ENSG00000177463	ENSG00000177463	RXR-like
NR2E1	nuclear receptor subfamily 2 group E member 1	6q21	Q9Y466	ENSG00000112333	ENSG00000112333	RXR-like
NR2E3	nuclear receptor subfamily 2 group E member 3	15q23	Q9Y5X4	ENSG00000278570	ENSG00000278570	RXR-like
NR2F1	nuclear receptor subfamily 2 group F member 1	5q15	P10589	ENSG00000175745	ENSG00000175745	RXR-like
NR2F2	nuclear receptor subfamily 2 group F member 2	15q26.2	P24468	ENSG00000185551	ENSG00000185551	RXR-like
NR2F6	nuclear receptor subfamily 2 group F member 6	19p13.11	P10588	ENSG00000160113	ENSG00000160113	RXR-like
NR3C1	nuclear receptor subfamily 3 group C member 1	5q31.3	P04150	ENSG00000113580	ENSG00000113580	ESR-like
NR3C2	nuclear receptor subfamily 3 group C member 2	4q31	P08235	ENSG00000151623	ENSG00000151623	ESR-like
NR4A1	nuclear receptor subfamily 4 group A member 1	12q13.13	P22736	ENSG00000123358	ENSG00000123358	NGFIB-like
NR4A2	nuclear receptor subfamily 4 group A member 2	2q22-q23	P43354	ENSG00000153234	ENSG00000153234	NGFIB-like
NR4A3	nuclear receptor subfamily 4 group A member 3	9q22	Q92570	ENSG00000119508	ENSG00000119508	NGFIB-like
NR5A1	nuclear receptor subfamily 5 group A member 1	9q33.3	Q13285	ENSG00000136931	ENSG00000136931	SF-like
NR5A2	nuclear receptor subfamily 5 group A member 2	1q32.1	O00482	ENSG00000116833	ENSG00000116833	SF-like
NR6A1	nuclear receptor subfamily 6 group A member 1	9q33.3	Q15406	ENSG00000148200	ENSG00000148200	GCNF-like
NR0B1	nuclear receptor subfamily 0 group B member 1	Xp21.2	P51843	ENSG00000169297	ENSG00000169297	Miscellaneous
NR0B2	nuclear receptor subfamily 0 group B member 2	1p36.11	Q15466	ENSG00000131910	ENSG00000131910	Miscellaneous
NRF1	nuclear respiratory factor 1	7q32.2	Q16656	ENSG00000106459	ENSG00000106459	Nrf1
NRL	neural retina leucine zipper	14q11.2-q12	P54845	ENSG00000129535	ENSG00000129535	TF_bZIP
NSD2	nuclear receptor binding SET domain protein 2	4p16.3	O96028	ENSG00000109685	ENSG00000109685	HMG
OLIG1	oligodendrocyte transcription factor 1	21q22.11	Q8TAK6	ENSG00000184221	ENSG00000184221	bHLH
OLIG2	oligodendrocyte transcription factor 2	21q22.11	Q13516	ENSG00000205927	ENSG00000205927	bHLH
OLIG3	oligodendrocyte transcription factor 3	6q23.3	Q7RTU3	ENSG00000177468	ENSG00000177468	bHLH
ONECUT1	one cut homeobox 1	15q21.3	Q9UBC0	ENSG00000169856	ENSG00000169856	CUT
ONECUT2	one cut homeobox 2	18q21.31	O95948	ENSG00000119547	ENSG00000119547	CUT
ONECUT3	one cut homeobox 3	19p13.3	O60422	ENSG00000205922	ENSG00000205922	CUT
OSR1	odd-skipped related transcription factor 1	2p24.1	Q8TAX0	ENSG00000143867	ENSG00000143867	zf-C2H2
OSR2	odd-skipped related transciption factor 2	8q22.2	Q8N2R0	ENSG00000164920	ENSG00000164920	zf-C2H2
OTP	orthopedia homeobox	5q14.1	Q5XKR4	ENSG00000171540	ENSG00000171540	Homeobox
OTX1	orthodenticle homeobox 1	2p15	P32242	ENSG00000115507	ENSG00000115507	TF_Otx
OTX2	orthodenticle homeobox 2	14q22.3	P32243	ENSG00000165588	ENSG00000165588	TF_Otx
OVOL1	ovo like transcriptional repressor 1	11q13.1	O14753	ENSG00000172818	ENSG00000172818	zf-C2H2
OVOL2	ovo like zinc finger 2	20p11.23	Q9BRP0	ENSG00000125850	ENSG00000125850	zf-C2H2
OVOL3	ovo like zinc finger 3	19q13.12	O00110	ENSG00000105261	ENSG00000105261	zf-C2H2
PARP12	poly(ADP-ribose) polymerase family member 12	7q34	Q9H0J9	ENSG00000059378	ENSG00000059378	Others
PATZ1	POZ/BTB and AT hook containing zinc finger 1	22q12.2	Q9HBE1	ENSG00000100105	ENSG00000100105	ZBTB
PAX1	paired box 1	20p11.22	P15863	ENSG00000125813	ENSG00000125813	PAX
PAX2	paired box 2	10q24.31	Q02962	ENSG00000075891	ENSG00000075891	PAX
PAX3	paired box 3	2q36.1	P23760	ENSG00000135903	ENSG00000135903	PAX
PAX4	paired box 4	7q32.1	O43316	ENSG00000106331	ENSG00000106331	PAX
PAX5	paired box 5	9p13.2	Q02548	ENSG00000196092	ENSG00000196092	PAX
PAX6	paired box 6	11p13	P26367	ENSG00000007372	ENSG00000007372	PAX
PAX7	paired box 7	1p36.13	P23759	ENSG00000009709	ENSG00000009709	PAX
PAX8	paired box 8	2q14.1	Q06710	ENSG00000125618	ENSG00000125618	PAX
PAX9	paired box 9	14q13.3	P55771	ENSG00000198807	ENSG00000198807	PAX
PAXBP1	PAX3 and PAX7 binding protein 1	21q22.11	Q9Y5B6	ENSG00000159086	ENSG00000159086	GCFC
PBRM1	polybromo 1	3p21.1	Q86U86	ENSG00000163939	ENSG00000163939	HMG
PBX1	PBX homeobox 1	1q23.3	P40424	ENSG00000185630	ENSG00000185630	Homeobox
PBX2	PBX homeobox 2	6p21.32	P40425	ENSG00000204304	ENSG00000204304	Homeobox
PBX3	PBX homeobox 3	9q33.3	P40426	ENSG00000167081	ENSG00000167081	Homeobox
PBX4	PBX homeobox 4	19p13.11	Q9BYU1	ENSG00000105717	ENSG00000105717	Homeobox
PDX1	pancreatic and duodenal homeobox 1	13q12.2	P52945	ENSG00000139515	ENSG00000139515	Homeobox
PEG3	paternally expressed 3	19q13.43	Q9GZU2	ENSG00000198300	ENSG00000198300	zf-C2H2
PGR	progesterone receptor	11q22.1	P06401	ENSG00000082175	ENSG00000082175	ESR-like
PHB	prohibitin	17q21.33	P35232	ENSG00000167085	ENSG00000167085	Others
PHOX2A	paired like homeobox 2A	11q13.4	O14813	ENSG00000165462	ENSG00000165462	Homeobox
PHOX2B	paired like homeobox 2B	4p13	Q99453	ENSG00000109132	ENSG00000109132	Homeobox
PHTF1	putative homeodomain transcription factor 1	1p13.2	Q9UMS5	ENSG00000116793	ENSG00000116793	Others
PIAS1	protein inhibitor of activated STAT 1	15q23	O75925	ENSG00000033800	ENSG00000033800	zf-MIZ
PIAS2	protein inhibitor of activated STAT 2	18q21.1	O75928	ENSG00000078043	ENSG00000078043	zf-MIZ
PIAS3	protein inhibitor of activated STAT 3	1q21.1	Q9Y6X2	ENSG00000131788	ENSG00000131788	zf-MIZ
PIAS4	protein inhibitor of activated STAT 4	19p13.3	Q8N2W9	ENSG00000105229	ENSG00000105229	zf-MIZ
PITX1	paired like homeodomain 1	5q31.1	P78337	ENSG00000069011	ENSG00000069011	Homeobox
PITX2	paired like homeodomain 2	4q25	Q99697	ENSG00000164093	ENSG00000164093	Homeobox
PITX3	paired like homeodomain 3	10q24.32	O75364	ENSG00000107859	ENSG00000107859	Homeobox
PKNOX1	PBX/knotted 1 homeobox 1	21q22.3	P55347	ENSG00000160199	ENSG00000160199	Homeobox
PKNOX2	PBX/knotted 1 homeobox 2	11q24.2	Q96KN3	ENSG00000165495	ENSG00000165495	Homeobox
PLAG1	PLAG1 zinc finger	8q12.1	Q6DJT9	ENSG00000181690	ENSG00000181690	zf-C2H2
PLAGL1	PLAG1 like zinc finger 1	6q24.2	Q9UM63	ENSG00000118495	ENSG00000118495	zf-C2H2
PLAGL2	PLAG1 like zinc finger 2	20q11.21	Q9UPG8	ENSG00000126003	ENSG00000126003	zf-C2H2
PLEK	pleckstrin	2p14	P08567	ENSG00000115956	ENSG00000115956	Others
PLSCR1	phospholipid scramblase 1	3q24	O15162	ENSG00000188313	ENSG00000188313	Others
PMS1	PMS1 homolog 1, mismatch repair system component	2q32.2	P54277	ENSG00000064933	ENSG00000064933	HMG
POU1F1	POU class 1 homeobox 1	3p11.2	P28069	ENSG00000064835	ENSG00000064835	Pou
POU2F1	POU class 2 homeobox 1	1q24.2	P14859	ENSG00000143190	ENSG00000143190	Pou
POU2F2	POU class 2 homeobox 2	19q13.2	P09086	ENSG00000028277	ENSG00000028277	Pou
POU2F3	POU class 2 homeobox 3	11q23.3	Q9UKI9	ENSG00000137709	ENSG00000137709	Pou
POU3F1	POU class 3 homeobox 1	1p34.3	Q03052	ENSG00000185668	ENSG00000185668	Pou
POU3F2	POU class 3 homeobox 2	6q16.1	P20265	ENSG00000184486	ENSG00000184486	Pou
POU3F3	POU class 3 homeobox 3	2q12.1	P20264	ENSG00000198914	ENSG00000198914	Pou
POU3F4	POU class 3 homeobox 4	Xq21.1	P49335	ENSG00000196767	ENSG00000196767	Pou
POU4F1	POU class 4 homeobox 1	13q31.1	Q01851	ENSG00000152192	ENSG00000152192	Pou
POU4F2	POU class 4 homeobox 2	4q31.22	Q12837	ENSG00000151615	ENSG00000151615	Pou
POU4F3	POU class 4 homeobox 3	5q32	Q15319	ENSG00000091010	ENSG00000091010	Pou
POU5F1	POU class 5 homeobox 1	6p21.33	Q01860	ENSG00000204531	ENSG00000204531	Pou
POU5F1B	POU class 5 homeobox 1B	8q24.21	Q06416	ENSG00000212993	ENSG00000212993	Pou
POU5F2	POU domain class 5, transcription factor 2	5q15	Q8N7G0	ENSG00000248483	ENSG00000248483	Pou
POU6F1	POU class 6 homeobox 1	12q13.13	Q14863	ENSG00000184271	ENSG00000184271	Pou
POU6F2	POU class 6 homeobox 2	7p14.1	P78424	ENSG00000106536	ENSG00000106536	Pou
PPARA	peroxisome proliferator activated receptor alpha	22q13.31	Q07869	ENSG00000186951	ENSG00000186951	THR-like
PPARD	peroxisome proliferator activated receptor delta	6p21.31	Q03181	ENSG00000112033	ENSG00000112033	THR-like
PPARG	peroxisome proliferator activated receptor gamma	3p25.2	P37231	ENSG00000132170	ENSG00000132170	THR-like
PRDM1	PR/SET domain 1	6q21	O75626	ENSG00000057657	ENSG00000057657	zf-C2H2
PRDM2	PR/SET domain 2	1p36.21	Q13029	ENSG00000116731	ENSG00000116731	zf-C2H2
PRDM4	PR/SET domain 4	12q23.3	Q9UKN5	ENSG00000110851	ENSG00000110851	zf-C2H2
PRDM5	PR/SET domain 5	4q27	Q9NQX1	ENSG00000138738	ENSG00000138738	zf-C2H2
PRDM6	PR/SET domain 6	5q23.2	Q9NQX0	ENSG00000061455	ENSG00000061455	zf-C2H2
PRDM8	PR/SET domain 8	4q21.21	Q9NQV8	ENSG00000152784	ENSG00000152784	zf-C2H2
PRDM9	PR/SET domain 9	5p14.2	Q9NQV7	ENSG00000164256	ENSG00000164256	zf-C2H2
PRDM10	PR/SET domain 10	11q24.3	Q9NQV6	ENSG00000170325	ENSG00000170325	zf-C2H2
PRDM11	PR/SET domain 11	11p11.2	Q9NQV5	ENSG00000019485	ENSG00000019485	Others
PRDM12	PR/SET domain 12	9q34.12	Q9H4Q4	ENSG00000130711	ENSG00000130711	zf-C2H2
PRDM13	PR/SET domain 13	6q16.2	Q9H4Q3	ENSG00000112238	ENSG00000112238	zf-C2H2
PRDM14	PR/SET domain 14	8q13.3	Q9GZV8	ENSG00000147596	ENSG00000147596	zf-C2H2
PRDM15	PR/SET domain 15	21q22.3	P57071	ENSG00000141956	ENSG00000141956	zf-C2H2
PRDM16	PR/SET domain 16	1p36.32	Q9HAZ2	ENSG00000142611	ENSG00000142611	zf-C2H2
PREB	prolactin regulatory element binding	2p23.3	Q9HCU5	ENSG00000138073	ENSG00000138073	Others
PROP1	PROP paired-like homeobox 1	5q35.3	O75360	ENSG00000175325	ENSG00000175325	Homeobox
PROX1	prospero homeobox 1	1q32.3	Q92786	ENSG00000117707	ENSG00000117707	HPD
PROX2	prospero homeobox 2	14q24.3	Q3B8N5	ENSG00000119608	ENSG00000119608	HPD
PRRX1	paired related homeobox 1	1q24.2	P54821	ENSG00000116132	ENSG00000116132	Homeobox
PRRX2	paired related homeobox 2	9q34.11	Q99811	ENSG00000167157	ENSG00000167157	Homeobox
PTF1A	pancreas associated transcription factor 1a	10p12.2	Q7RTS3	ENSG00000168267	ENSG00000168267	bHLH
PURA	purine rich element binding protein A	5q31.3	Q00577	ENSG00000185129	ENSG00000185129	Others
PURB	purine rich element binding protein B	7p13	Q96QR8	ENSG00000146676	ENSG00000146676	Others
PURG	purine rich element binding protein G	8p12	Q9UJV8	ENSG00000172733	ENSG00000172733	Others
RAG1	recombination activating 1	11p12	P15918	ENSG00000166349	ENSG00000166349	Others
RARA	retinoic acid receptor alpha	17q21.2	P10276	ENSG00000131759	ENSG00000131759	THR-like
RARB	retinoic acid receptor beta	3p24.2	P10826	ENSG00000077092	ENSG00000077092	THR-like
RARG	retinoic acid receptor gamma	12q13.13	P13631	ENSG00000172819	ENSG00000172819	THR-like
RAX	retina and anterior neural fold homeobox	18q21.32	Q9Y2V3	ENSG00000134438	ENSG00000134438	Homeobox
RAX2	retina and anterior neural fold homeobox 2	19p13.3	Q96IS3	ENSG00000173976	ENSG00000173976	Homeobox
RBAK	RB associated KRAB zinc finger	7p22.1	Q9NYW8	ENSG00000146587	ENSG00000146587	zf-C2H2
RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1	20p13	Q9BYM8	ENSG00000125826	ENSG00000125826	Others
RBPJ	recombination signal binding protein for immunoglobulin kappa J region	4p15.2	Q06330	ENSG00000168214	ENSG00000168214	CSL
RBPJL	recombination signal binding protein for immunoglobulin kappa J region like	20q13.12	Q9UBG7	ENSG00000124232	ENSG00000124232	CSL
RCOR1	REST corepressor 1	14q32.31	Q9UKL0	ENSG00000089902	ENSG00000089902	MYB
RCOR2	REST corepressor 2	11q13.1	Q8IZ40	ENSG00000167771	ENSG00000167771	MYB
RCOR3	REST corepressor 3	1q32.2-q32.3	Q9P2K3	ENSG00000117625	ENSG00000117625	MYB
REL	REL proto-oncogene, NF-kB subunit	2p16.1	Q04864	ENSG00000162924	ENSG00000162924	RHD
RELA	RELA proto-oncogene, NF-kB subunit	11q13.1	Q04206	ENSG00000173039	ENSG00000173039	RHD
RELB	RELB proto-oncogene, NF-kB subunit	19q13.32	Q01201	ENSG00000104856	ENSG00000104856	RHD
REPIN1	replication initiator 1	7q36.1	Q9BWE0	ENSG00000214022	ENSG00000214022	zf-C2H2
RERE	arginine-glutamic acid dipeptide repeats	1p36.23	Q9P2R6	ENSG00000142599	ENSG00000142599	zf-GATA
REST	RE1 silencing transcription factor	4q12	Q13127	ENSG00000084093	ENSG00000084093	zf-C2H2
RFX1	regulatory factor X1	19p13.12	P22670	ENSG00000132005	ENSG00000132005	RFX
RFX2	regulatory factor X2	19p13.3	P48378	ENSG00000087903	ENSG00000087903	RFX
RFX3	regulatory factor X3	9p24.2	P48380	ENSG00000080298	ENSG00000080298	RFX
RFX4	regulatory factor X4	12q23.3	Q33E94	ENSG00000111783	ENSG00000111783	RFX
